Dist from origin [mm],mean of absValue [nT]
0,0.003907472680594776
5,0.007549258828005401
10,0.007843848829606452
15,0.008034238194715165
20,0.00817402685661481
25,0.00834556856041043
30,0.008426014645220454
35,0.008410088379238187
40,0.008538690317544735
45,0.008829856063898594
50,0.009007916903094534
55,0.008849905206369715
60,0.008483809385264255
65,0.009047267297592539
70,0.008886278396185596
75,0.009161607095822944
80,0.008509189692995781
85,0.008607466705004485
90,0.009168790034146833
95,0.008930948652185916
100,0.0088383831865919
105,0.008868991746729806
110,0.008892659419243922
115,0.008781353733548885
120,0.008617599236025687
125,0.008372441549059586
130,0.008295563147004642
135,0.008201648091913892
140,0.00808524618876783
145,0.008038980736061055
150,0.007738859103201211
155,0.007479005419636195
160,0.006114859823353507
165,0.0006169279332797369
170,0.00018812615606796028
