Dist from origin [mm],mean of absValue [nT]
0,0.003108721118460229
5,0.005546641817375388
10,0.005755483946077143
15,0.005656254711664928
20,0.005970718108439299
25,0.006419913524545333
30,0.006237510793817074
35,0.00639028801952317
40,0.006189551273889186
45,0.00644831061326358
50,0.006502527490191039
55,0.0063224184060342884
60,0.006676454631454086
65,0.006488410267256574
70,0.006543409959984044
75,0.006441613041311998
80,0.006377594825834376
85,0.006278270211815133
90,0.00621802433262116
95,0.005937434361998469
100,0.004346319091461998
105,0.0004906849649571617
110,0.000360763398144178
