Dist from origin [mm],mean of absValue [nT]
0,0.0016335033993928752
5,0.003098125752418592
10,0.0032505823293636727
15,0.002929663711267446
20,0.002774101427883293
25,0.002892845375722576
30,0.0030168539266850866
35,0.0028355593805988507
40,0.0026364485509996435
45,0.0027986125751001314
50,0.0028565803516121006
55,0.0028184244191090373
60,0.0026418552145321466
65,0.002779327529958223
70,0.0027223773146631625
75,0.0028282142767991495
80,0.0026475880838890535
85,0.003051610468692908
90,0.003129919356659125
95,0.003275528197952346
100,0.0031294463356031084
105,0.0023250926898122455
110,0.0004507793687756992
