Dist from origin [mm],mean of absValue [nT]
0,0.003065381149034034
5,0.005081282520834107
10,0.005338689348831375
15,0.005117941447007275
20,0.0050362286599854155
25,0.00509230057284995
30,0.005278373788751718
35,0.005164240543545202
40,0.005262822267956839
45,0.005093029078870148
50,0.004750087290013044
55,0.005230994564774442
60,0.00507844272186075
65,0.004838457262091006
70,0.005047518299123357
75,0.005101611440262698
80,0.005159426165542113
85,0.004926294197719441
90,0.004938971465768562
95,0.004547743699610821
100,0.0006806038303790655
105,0.001204820196667609
110,0.0006789530871969198
