Dist from origin [mm],mean of absValue [nT]
0,0.011361847168998641
5,0.011016911417929263
10,0.010213477839945037
15,0.009639589149571708
20,0.008989027644836549
25,0.008337294156989104
30,0.00806512278325225
35,0.007887127712979405
40,0.00748104362517055
45,0.007248923536840431
50,0.007131546090741534
55,0.0071074256007229025
60,0.007091295602082943
65,0.00679634243662768
70,0.0067693087242915945
75,0.006573782423568119
80,0.006826460710086962
85,0.006701265835339652
90,0.006925309633519221
95,0.006759054718218353
100,0.006930546222347338
105,0.007045744695381138
110,0.0070664538548373375
115,0.007386170800966257
120,0.007446921746183085
125,0.008060838030088427
130,0.008093003503152032
135,0.008715970743976948
140,0.00918999786020275
145,0.009761851173646611
150,0.010261178413479025
155,0.011326746494946823
160,0.007925392751221842
165,0.00016137918920234968
170,0.0002362116026159298
