CPMG train data
Estimated phase correction: -2.097371 rad
time in s	real part	imag part	abs value
0.008647	-0.085086	-0.148552	0.171194
0.008707	-0.086233	-0.148778	0.171963
0.008767	-0.085517	-0.148058	0.170981
0.008827	-0.085036	-0.148594	0.171205
0.008887	-0.086900	-0.148391	0.171964
0.008947	-0.085330	-0.147944	0.170788
0.009007	-0.085069	-0.148393	0.171047
0.009067	-0.086389	-0.147500	0.170937
0.009127	-0.084594	-0.148441	0.170854
0.009187	-0.085432	-0.148293	0.171141
0.009247	-0.086605	-0.147393	0.170953
0.009307	-0.084547	-0.148281	0.170691
0.009367	-0.086800	-0.147794	0.171398
0.009427	-0.085685	-0.148169	0.171161
0.009487	-0.085463	-0.148684	0.171495
0.009547	-0.086590	-0.148118	0.171571
0.009607	-0.084445	-0.148388	0.170734
0.009667	-0.086856	-0.148255	0.171824
0.009727	-0.086072	-0.147840	0.171070
0.009787	-0.085172	-0.148473	0.171168
0.009847	-0.087002	-0.148060	0.171730
0.009907	-0.085697	-0.148110	0.171116
0.009967	-0.086004	-0.147683	0.170900
0.010027	-0.086836	-0.147936	0.171539
0.010087	-0.084476	-0.148763	0.171075
0.010147	-0.086212	-0.147608	0.170940
0.010207	-0.085774	-0.148328	0.171343
0.010267	-0.085126	-0.148357	0.171044
0.010327	-0.086841	-0.148078	0.171664
0.010387	-0.085915	-0.148356	0.171438
0.010447	-0.086286	-0.148274	0.171553
0.010507	-0.086177	-0.147354	0.170703
0.010567	-0.084580	-0.148433	0.170839
0.010627	-0.087009	-0.148233	0.171883
0.010687	-0.085418	-0.148057	0.170930
0.010747	-0.085394	-0.148322	0.171148
0.010807	-0.086443	-0.147889	0.171299
0.010867	-0.085568	-0.148056	0.171004
0.010927	-0.085787	-0.147598	0.170718
0.010987	-0.085907	-0.148263	0.171353
0.011047	-0.086022	-0.148480	0.171599
0.011107	-0.086067	-0.148151	0.171337
0.011167	-0.086021	-0.148667	0.171760
0.011227	-0.085277	-0.147872	0.170699
0.011287	-0.086113	-0.148556	0.171710
0.011347	-0.085644	-0.148130	0.171107
0.011407	-0.086095	-0.147870	0.171107
0.011467	-0.086640	-0.148374	0.171818
0.011527	-0.085455	-0.148323	0.171180
0.011587	-0.086557	-0.147288	0.170839
0.011647	-0.085833	-0.148252	0.171307
0.011707	-0.085682	-0.147659	0.170718
0.011767	-0.085788	-0.147843	0.170930
0.011827	-0.086289	-0.147363	0.170768
0.011887	-0.085784	-0.147679	0.170786
0.011947	-0.086242	-0.148479	0.171708
0.012007	-0.085655	-0.147930	0.170939
0.012067	-0.085874	-0.147799	0.170935
0.012127	-0.086005	-0.147726	0.170938
0.012187	-0.085357	-0.147639	0.170538
0.012247	-0.085987	-0.148140	0.171287
0.012307	-0.085727	-0.148338	0.171327
0.012367	-0.086031	-0.147738	0.170962
0.012427	-0.086242	-0.148273	0.171530
0.012487	-0.084878	-0.147989	0.170602
0.012547	-0.085430	-0.147812	0.170724
0.012607	-0.086076	-0.148192	0.171376
0.012667	-0.085644	-0.148301	0.171254
0.012727	-0.085984	-0.148132	0.171278
0.012787	-0.085244	-0.148092	0.170873
0.012847	-0.086029	-0.147867	0.171073
0.012907	-0.085914	-0.147681	0.170853
0.012967	-0.085364	-0.148433	0.171229
0.013027	-0.085294	-0.147850	0.170689
0.013087	-0.085950	-0.147694	0.170882
0.013147	-0.085482	-0.147642	0.170603
0.013207	-0.085483	-0.148314	0.171186
0.013267	-0.085958	-0.147902	0.171067
0.013327	-0.085766	-0.148000	0.171055
0.013387	-0.085784	-0.148084	0.171137
0.013447	-0.085352	-0.148195	0.171016
0.013507	-0.085605	-0.147864	0.170857
0.013567	-0.085681	-0.147909	0.170934
0.013627	-0.085094	-0.147947	0.170673
0.013687	-0.085930	-0.147845	0.171003
0.013747	-0.085530	-0.148505	0.171374
0.013807	-0.085445	-0.147701	0.170636
0.013867	-0.086114	-0.147830	0.171083
0.013927	-0.086339	-0.148346	0.171642
0.013987	-0.086048	-0.147472	0.170741
0.014047	-0.085498	-0.147767	0.170719
0.014107	-0.085431	-0.147864	0.170770
0.014167	-0.086542	-0.147694	0.171181
0.014227	-0.085668	-0.148005	0.171011
0.014287	-0.085893	-0.148033	0.171147
0.014347	-0.085745	-0.148337	0.171336
0.014407	-0.084841	-0.148612	0.171125
0.014467	-0.085929	-0.148122	0.171242
0.014527	-0.085751	-0.147840	0.170909
0.014587	-0.085281	-0.148063	0.170867
0.014647	-0.085685	-0.148035	0.171045
0.014707	-0.085246	-0.148201	0.170969
0.014767	-0.085516	-0.147964	0.170899
0.014827	-0.085908	-0.148313	0.171397
0.014887	-0.085321	-0.147794	0.170653
0.014947	-0.085611	-0.147393	0.170452
0.015007	-0.085022	-0.147613	0.170348
0.015067	-0.085736	-0.147384	0.170507
0.015127	-0.086094	-0.148016	0.171234
0.015187	-0.085636	-0.148519	0.171439
0.015247	-0.085497	-0.147036	0.170087
0.015307	-0.085767	-0.147618	0.170725
0.015367	-0.085653	-0.148310	0.171267
