CPMG train data
Estimated phase correction: -2.098853 rad
time in s	real part	imag part	abs value
0.008647	-0.085329	-0.147452	0.170362
0.008707	-0.084833	-0.147691	0.170321
0.008767	-0.086035	-0.147150	0.170456
0.008827	-0.084401	-0.146852	0.169379
0.008887	-0.085373	-0.146551	0.169604
0.008947	-0.085348	-0.147271	0.170215
0.009007	-0.084856	-0.147279	0.169975
0.009067	-0.086536	-0.147026	0.170602
0.009127	-0.084836	-0.147288	0.169973
0.009187	-0.084926	-0.147105	0.169860
0.009247	-0.085958	-0.146942	0.170238
0.009307	-0.084722	-0.147476	0.170080
0.009367	-0.085745	-0.147082	0.170251
0.009427	-0.085459	-0.147016	0.170050
0.009487	-0.084781	-0.147074	0.169760
0.009547	-0.086163	-0.147040	0.170425
0.009607	-0.085300	-0.147226	0.170151
0.009667	-0.084775	-0.147017	0.169707
0.009727	-0.085929	-0.146621	0.169946
0.009787	-0.084640	-0.147196	0.169796
0.009847	-0.086234	-0.146531	0.170023
0.009907	-0.085534	-0.147145	0.170199
0.009967	-0.085005	-0.147453	0.170201
0.010027	-0.086213	-0.146349	0.169855
0.010087	-0.084973	-0.147199	0.169964
0.010147	-0.085823	-0.146874	0.170110
0.010207	-0.085424	-0.147075	0.170083
0.010267	-0.085461	-0.147041	0.170073
0.010327	-0.085764	-0.146566	0.169815
0.010387	-0.085785	-0.147289	0.170449
0.010447	-0.085602	-0.147359	0.170418
0.010507	-0.086678	-0.146793	0.170474
0.010567	-0.085241	-0.147624	0.170467
0.010627	-0.085798	-0.147247	0.170420
0.010687	-0.086055	-0.147182	0.170494
0.010747	-0.084936	-0.147063	0.169829
0.010807	-0.085548	-0.146578	0.169716
0.010867	-0.085304	-0.147027	0.169982
0.010927	-0.085212	-0.147265	0.170142
0.010987	-0.085804	-0.146409	0.169699
0.011047	-0.085409	-0.146546	0.169618
0.011107	-0.085870	-0.146869	0.170130
0.011167	-0.085491	-0.147343	0.170348
0.011227	-0.085429	-0.146758	0.169812
0.011287	-0.085518	-0.146223	0.169394
0.011347	-0.085487	-0.147544	0.170521
0.011407	-0.084897	-0.146118	0.168991
0.011467	-0.086551	-0.146394	0.170066
0.011527	-0.085198	-0.147329	0.170190
0.011587	-0.085595	-0.147047	0.170145
0.011647	-0.085093	-0.147813	0.170557
0.011707	-0.085446	-0.147679	0.170617
0.011767	-0.086103	-0.146789	0.170179
0.011827	-0.085740	-0.146674	0.169896
0.011887	-0.085079	-0.146715	0.169599
0.011947	-0.085957	-0.147383	0.170617
0.012007	-0.085457	-0.147257	0.170257
0.012067	-0.084735	-0.146705	0.169418
0.012127	-0.085160	-0.147198	0.170057
0.012187	-0.085104	-0.147297	0.170115
0.012247	-0.085636	-0.146704	0.169870
0.012307	-0.085517	-0.146535	0.169663
0.012367	-0.084914	-0.146913	0.169687
0.012427	-0.085474	-0.146905	0.169962
0.012487	-0.085832	-0.147033	0.170253
0.012547	-0.085549	-0.146883	0.169980
0.012607	-0.085829	-0.146904	0.170140
0.012667	-0.084922	-0.147093	0.169848
0.012727	-0.085241	-0.147548	0.170400
0.012787	-0.085328	-0.146867	0.169855
0.012847	-0.085142	-0.146589	0.169521
0.012907	-0.085486	-0.146952	0.170008
0.012967	-0.085843	-0.146881	0.170126
0.013027	-0.085074	-0.147052	0.169888
0.013087	-0.085731	-0.146731	0.169941
0.013147	-0.084894	-0.146377	0.169213
0.013207	-0.085070	-0.147346	0.170141
0.013267	-0.085955	-0.146606	0.169946
0.013327	-0.084859	-0.147377	0.170062
0.013387	-0.085842	-0.147438	0.170608
0.013447	-0.085075	-0.146592	0.169491
0.013507	-0.085787	-0.146339	0.169631
0.013567	-0.085578	-0.147373	0.170418
0.013627	-0.084836	-0.147404	0.170073
0.013687	-0.085151	-0.146866	0.169765
0.013747	-0.085658	-0.146954	0.170097
0.013807	-0.085181	-0.147010	0.169905
0.013867	-0.085680	-0.146798	0.169973
0.013927	-0.085089	-0.147166	0.169994
0.013987	-0.085613	-0.147244	0.170325
0.014047	-0.085709	-0.146834	0.170018
0.014107	-0.085005	-0.146849	0.169678
0.014167	-0.085839	-0.147086	0.170301
0.014227	-0.085339	-0.147206	0.170154
0.014287	-0.084661	-0.146669	0.169350
0.014347	-0.086332	-0.146784	0.170290
0.014407	-0.084781	-0.147523	0.170149
0.014467	-0.084826	-0.146654	0.169419
0.014527	-0.085176	-0.146358	0.169339
0.014587	-0.085483	-0.147032	0.170076
0.014647	-0.086044	-0.146839	0.170191
0.014707	-0.085482	-0.147664	0.170622
0.014767	-0.084992	-0.146986	0.169790
0.014827	-0.085447	-0.145652	0.168866
0.014887	-0.085341	-0.146688	0.169707
0.014947	-0.085180	-0.146836	0.169754
0.015007	-0.084794	-0.146596	0.169353
0.015067	-0.084742	-0.146309	0.169078
0.015127	-0.085751	-0.146860	0.170062
0.015187	-0.085504	-0.146981	0.170042
0.015247	-0.085409	-0.146318	0.169422
0.015307	-0.085034	-0.146665	0.169533
0.015367	-0.085131	-0.146737	0.169644
0.015427	-0.085349	-0.146067	0.169174
0.015487	-0.085447	-0.147054	0.170077
0.015547	-0.085507	-0.146797	0.169885
0.015607	-0.085076	-0.146701	0.169585
0.015667	-0.085679	-0.146572	0.169777
0.015727	-0.085038	-0.146346	0.169259
0.015787	-0.085668	-0.146793	0.169962
