0.000000000000000000e+00,8.281563868581602872e-01,2.042915961443504003e+01
5.000000000000000000e+00,1.599322314113005961e+00,4.770484370062070667e+01
1.000000000000000000e+01,1.702178876904367977e+00,5.095315614114593217e+01
1.500000000000000000e+01,1.678111070534684224e+00,5.024900732986203167e+01
2.000000000000000000e+01,1.649832881801747808e+00,4.935443768131116116e+01
2.500000000000000000e+01,1.694483830142833103e+00,5.072802311711038925e+01
3.000000000000000000e+01,1.758011414600966216e+00,5.258664173788666574e+01
3.500000000000000000e+01,1.693973690624922535e+00,5.071309802881575735e+01
4.000000000000000000e+01,1.716146186368738169e+00,5.136179597333932634e+01
4.500000000000000000e+01,1.748900881213473646e+00,5.232009599805364530e+01
5.000000000000000000e+01,1.710320610353965654e+00,5.119135782194165074e+01
5.500000000000000000e+01,1.730939904684520858e+00,5.179461394629961291e+01
6.000000000000000000e+01,1.724439928994190518e+00,5.160444496764746702e+01
6.500000000000000000e+01,1.675428478054891146e+00,5.017052305602373252e+01
7.000000000000000000e+01,1.673723978120793099e+00,5.012065471389096416e+01
7.500000000000000000e+01,1.633875027972824467e+00,4.883327981622549174e+01
8.000000000000000000e+01,1.652769115787220189e+00,4.945033036535663484e+01
8.500000000000000000e+01,1.642284582690819228e+00,4.910792236090200191e+01
9.000000000000000000e+01,1.645204348455719723e+00,4.920327721932461884e+01
9.500000000000000000e+01,1.618825885774696660e+00,4.834179901289016357e+01
1.000000000000000000e+02,1.506379410189112811e+00,4.462320961240181560e+01
1.050000000000000000e+02,9.322017677359903942e-01,2.416373897114107550e+01
1.100000000000000000e+02,5.484697610850522431e-02,0.000000000000000000e+00
