Dist from origin [mm],mean of absValue [nT]
0,0.009152320346981793
5,0.008994722754568231
10,0.009004858388220979
15,0.008913024702928013
20,0.008728730341121581
25,0.008720671339524927
30,0.008607942755819801
35,0.00869016499333042
40,0.008514487852095083
45,0.008485062575578541
50,0.008529834776438476
55,0.008588890615667937
60,0.008528822495287655
65,0.008701270766715095
70,0.008919347238422989
75,0.00876443122263537
80,0.009034045940280707
85,0.009241971182041123
90,0.009446068659359324
95,0.00918854003302521
100,0.0031248816928265756
105,0.0002746932618976669
110,0.0001947848595982403
