Dist from origin [mm],mean of absValue [nT]
0,0.002847984872563713
5,0.0053065666591550036
10,0.005722104867796981
15,0.006219008435755957
20,0.006190996440592037
25,0.006589850056162541
30,0.006693769490972705
35,0.0067116916442346046
40,0.006749774608044628
45,0.0067672189019185635
50,0.006863756607148057
55,0.007214951005590191
60,0.007051102841484151
65,0.007051146771347383
70,0.006933006190704902
75,0.006515295798994863
80,0.006574398657063115
85,0.006667233305847235
90,0.006515664466883461
95,0.0061565634824532365
100,0.0059091934614899574
105,0.004130726050292708
110,0.00037660267662733264
