Dist from origin [mm],mean of absValue [nT]
0,0.0021259376566810278
5,0.003179603210959771
10,0.002321633537770872
15,0.0014337429006102552
20,0.0008817725503281176
25,0.0008404068858136242
30,0.0008624200034980847
35,0.0006857489653089273
40,0.000849528664162606
45,0.0008486775319073989
50,0.0007593867501352663
55,0.0007204999647240113
60,0.0007824793136837397
65,0.0008172921624122562
70,0.0007744382295915197
75,0.0007646676636142103
80,0.001003256054835581
85,0.0009719816644209653
90,0.001310323731809101
95,0.0020749841549828596
100,0.0030013532119795207
105,0.002523330201751864
110,0.0001480235102562328
