Dist from origin [mm],mean of absValue [nT]
0,0.0022002452458632317
5,0.0033756389481263706
10,0.0024932670112564684
15,0.0014119003425020129
20,0.0008725342583488999
25,0.0006978296408153098
30,0.0007755433386874869
35,0.0007082001527171381
40,0.0008503175347072848
45,0.0007132980175879161
50,0.000830392467159077
55,0.0007938267569682049
60,0.0008375460890503641
65,0.0007849599909694571
70,0.0008783317667618763
75,0.000820170357430898
80,0.000730053179297385
85,0.0008727658875569256
90,0.0012763653034940194
95,0.002054930360344738
100,0.0031577596284142694
105,0.0025712489364891657
110,0.00014257436421120923
