Dist from origin [mm],mean of absValue [nT]
0,0.004605137169689609
5,0.007686568306580735
10,0.007740388857261663
15,0.00806912273391722
20,0.00851030227321724
25,0.008689769766182139
30,0.00867553572355498
35,0.008695712582132621
40,0.00914811205605276
45,0.008894981943462223
50,0.008976330998692114
55,0.00894878457632592
60,0.009083522198994484
65,0.009141638835470972
70,0.009002490672996055
75,0.00915101761481384
80,0.009145227737826294
85,0.009252667010520445
90,0.009191927874169219
95,0.009261112414980045
100,0.009221853610796913
105,0.00903189136219334
110,0.009121708712909722
115,0.009211121147140856
120,0.009209234631014042
125,0.009070206538382123
130,0.008967343945385318
135,0.008884038207780163
140,0.008704666128715649
145,0.008719503541617313
150,0.008103023243639124
155,0.008070893077453253
160,0.007181555350530763
165,0.0010768485990802134
170,0.0002737191328541138
