Dist from origin [mm],mean of absValue [nT]
0,0.0024985744988145855
5,0.005112023654913641
10,0.005128082549816748
15,0.0051004312912901
20,0.005168111246847305
25,0.005072194416448514
30,0.0049453483484046415
35,0.005095399478662566
40,0.005150249337642848
45,0.005275690658889894
50,0.005050214120378809
55,0.005156402620422996
60,0.005183937023210465
65,0.005150615965682227
70,0.005225098366262313
75,0.005297665782344298
80,0.005372333533546839
85,0.005320300948773129
90,0.005437269807526066
95,0.005339513891977058
100,0.005033728299242238
105,0.0012773630228027362
110,0.000259649116202616
