Dist from origin [mm],mean of absValue [nT]
0,0.004468198154777046
5,0.007741784769630915
10,0.00806372453363421
15,0.008732532737965428
20,0.008475129238763092
25,0.0088001812414935
30,0.00891986217947673
35,0.00882069748653262
40,0.008932665762778853
45,0.009175256334476288
50,0.0093736553386346
55,0.009398624441561964
60,0.0090798822946338
65,0.009586906907510002
70,0.009380817059978836
75,0.0094144764905037
80,0.008968290767906653
85,0.00916293283386633
90,0.009480900265113786
95,0.009059086217138862
100,0.009213144808442033
105,0.009153313169513592
110,0.00898096578192398
115,0.009124186871292534
120,0.009121606324396285
125,0.008926448952233925
130,0.00877233385563922
135,0.008751460127330994
140,0.008603124414240852
145,0.008359168374543343
150,0.008178208586563556
155,0.007896421381819797
160,0.006475355965450087
165,0.0006510608599362668
170,0.0002568680331154172
