Dist from origin [mm],mean of absValue [nT]
0,0.005945759267580677
5,0.005168177109909029
10,0.0042310502933711235
15,0.003679429029784767
20,0.0031239018024991007
25,0.002677761624489138
30,0.0025247105623919445
35,0.0023338028305128224
40,0.002368333252445887
45,0.0024650980446521632
50,0.002416526766690775
55,0.002421030205299953
60,0.0023610820371774465
65,0.0023874889975154996
70,0.0023763649873123874
75,0.0022776946859813124
80,0.002288483719113769
85,0.002488889440387267
90,0.0024586682135682623
95,0.0023855795429907163
100,0.0023632181201778692
105,0.0023288150292653234
110,0.0023802618845126973
115,0.0021871183189996007
120,0.0023091599622134655
125,0.0023062717521743783
130,0.0025615225111556305
135,0.0030589072586089164
140,0.0037284091942439983
145,0.004390034308299644
150,0.005170356055995833
155,0.006142470051371931
160,0.0017520509453219314
165,0.00021928830793700109
