Dist from origin [mm],mean of absValue [nT]
0,0.002821126257796083
5,0.0055822685957012666
10,0.005520107428794574
15,0.005489422156775452
20,0.005371096160339107
25,0.005339529852346125
30,0.005227035216010308
35,0.005164916942288008
40,0.005178025821551507
45,0.005218138316873667
50,0.005064576944445475
55,0.005142351297167781
60,0.0051016461206332435
65,0.005097706955108987
70,0.005228191384961139
75,0.004978033524645766
80,0.005096837617072986
85,0.004911154953757137
90,0.005009854401804613
95,0.005108178711051263
100,0.005023924405211771
105,0.0049021348500489625
110,0.005070956528840074
115,0.005015626754998909
120,0.005138437656002654
125,0.005003669948417515
130,0.0049702547070358235
135,0.005147736358783775
140,0.005198696002133739
145,0.005140011872134431
150,0.005098535573113133
155,0.005349111720923747
160,0.005295170250194782
165,0.005650779048573298
170,0.004580403742981316
175,0.0003555041246372338
