Dist from origin [mm],mean of absValue [nT]
0,0.0021789488726975674
5,0.00300696693576858
10,0.0015639779067325476
15,0.0008710205128543809
20,0.0009160252355860509
25,0.0008660301342542109
30,0.0008175657324285817
35,0.0009668015522556086
40,0.0010294540433171393
45,0.0009837652241999292
50,0.0012106759698663637
55,0.0010487308893947322
60,0.0013486766526587973
65,0.0010991498098429124
70,0.001312396933562407
75,0.0010854016504894535
80,0.001092311891039165
85,0.00102741019015527
90,0.0013229756533670006
95,0.001143887625207067
100,0.0011914675895405224
105,0.0010884799856979558
110,0.0009826394510462943
115,0.0011412598771360866
120,0.0011570059476322778
125,0.0009659125009055361
130,0.0009119623843305574
135,0.0009416590591852462
140,0.0008591888490529559
145,0.0009326480431993715
150,0.0012315161148367395
155,0.00266628550008198
160,0.0026397284900730976
165,0.00029383655425900405
