Dist from origin [mm],mean of absValue [nT]
0,0.002901381142111418
5,0.0028398513364027724
10,0.002483821535654618
15,0.002157604384304944
20,0.0017279952770184917
25,0.0015553200246621677
30,0.0011423962656375566
35,0.001072796318060921
40,0.0009712912549513401
45,0.000994958160497362
50,0.0008972811452677437
55,0.0008694868815980556
60,0.0009453355899520572
65,0.0008548962237141094
70,0.001103542916327763
75,0.0014426515657456583
80,0.0017839381738694235
85,0.0021415623626105137
90,0.0024138057510789345
95,0.0028924081249991373
100,0.003065376160675152
105,0.0005653377458196716
110,0.00017244032073709196
