Dist from origin [mm],mean of absValue [nT]
0,0.0040295697465706
5,0.008356881857729865
10,0.008882170393874948
15,0.009303635894138308
20,0.009577673056076394
25,0.009561277179483713
30,0.009481526013506025
35,0.009632520358429065
40,0.009479802388723346
45,0.009364160328966269
50,0.009423514868051567
55,0.009208708921602271
60,0.009108781364299401
65,0.008949127740823471
70,0.009396879742246284
75,0.008999395169964976
80,0.009060585722205397
85,0.00925757729337797
90,0.009428299309078668
95,0.009244618082103353
100,0.009009704164108097
105,0.009666659941214776
110,0.00944374870710295
115,0.009787931268658517
120,0.009852208296145217
125,0.009984609117542663
130,0.010018905660413295
135,0.009880703911947319
140,0.009816080433562887
145,0.01003990753925797
150,0.009909192674799679
155,0.009235141530829221
160,0.007505133628622381
165,0.00042349925637002523
170,0.00041245130407051555
