Dist from origin [mm],mean of absValue [nT]
0,0.0062388303892723825
5,0.011472579086905127
10,0.010930345534023368
15,0.010827767922322751
20,0.010562269942790348
25,0.010439607048747588
30,0.010360294799471828
35,0.010145398040292387
40,0.009628969545532882
45,0.009779264409877865
50,0.009626335920272431
55,0.009576389585430346
60,0.009395059965000573
65,0.009522672155394572
70,0.009173879265959672
75,0.009076009944231163
80,0.009403330931104969
85,0.009314994607073506
90,0.00932880772347553
95,0.009521907153576993
100,0.009449810075356651
105,0.009598630858225456
110,0.009800105220964524
115,0.010008681666340658
120,0.010237206585264686
125,0.010333089529968696
130,0.01054607250690232
135,0.010904992911235332
140,0.01122343145804471
145,0.011743457335442183
150,0.012363647955156657
155,0.01259817456996205
160,0.009915034686216717
165,0.0003888613085703828
170,0.0007110880801568307
