CPMG train data
Estimated phase correction: -2.384692 rad
time in s	real part	imag part	abs value
0.008767	-0.000082	-0.000015	0.000084
0.008827	0.000213	-0.000131	0.000250
0.008887	-0.000277	-0.000062	0.000283
0.008947	-0.000029	0.000142	0.000145
0.009007	-0.000023	-0.000278	0.000279
0.009067	-0.000029	-0.000119	0.000123
0.009127	0.000164	-0.000364	0.000399
0.009187	0.000136	-0.000259	0.000293
0.009247	-0.000087	-0.000131	0.000157
0.009307	-0.000006	-0.000420	0.000420
0.009367	0.000143	-0.000324	0.000354
0.009427	-0.000031	0.000032	0.000045
0.009487	-0.000112	-0.000192	0.000222
0.009547	-0.000063	-0.000426	0.000431
0.009607	-0.000181	-0.000081	0.000198
0.009667	0.000011	-0.000332	0.000332
0.009727	-0.000222	-0.000186	0.000290
0.009787	-0.000282	0.000019	0.000283
0.009847	-0.000348	0.000098	0.000362
0.009907	-0.000075	-0.000066	0.000100
0.009967	0.000093	0.000093	0.000131
0.010027	0.000074	-0.000183	0.000198
0.010087	-0.000017	-0.000093	0.000095
0.010147	0.000160	0.000029	0.000162
0.010207	0.000092	0.000137	0.000165
0.010267	-0.000241	-0.000143	0.000280
0.010327	-0.000070	-0.000134	0.000151
0.010387	-0.000176	-0.000126	0.000216
0.010447	-0.000062	0.000044	0.000076
0.010507	0.000007	-0.000113	0.000113
0.010567	-0.000304	-0.000451	0.000544
0.010627	-0.000302	-0.000005	0.000302
0.010687	-0.000029	0.000034	0.000045
0.010747	-0.000018	0.000081	0.000083
0.010807	0.000061	0.000035	0.000070
0.010867	-0.000294	-0.000354	0.000460
0.010927	0.000025	0.000071	0.000075
0.010987	-0.000103	-0.000286	0.000304
0.011047	0.000192	-0.000127	0.000230
0.011107	0.000167	-0.000027	0.000169
0.011167	-0.000316	-0.000022	0.000317
0.011227	0.000007	-0.000129	0.000129
0.011287	-0.000054	0.000067	0.000086
0.011347	-0.000246	-0.000121	0.000274
0.011407	-0.000218	0.000075	0.000231
0.011467	0.000022	-0.000098	0.000100
0.011527	0.000105	0.000105	0.000148
0.011587	-0.000107	0.000000	0.000107
0.011647	-0.000183	-0.000129	0.000224
0.011707	-0.000156	0.000129	0.000202
0.011767	0.000081	0.000057	0.000099
0.011827	-0.000162	-0.000122	0.000203
0.011887	-0.000475	-0.000166	0.000503
0.011947	-0.000033	-0.000176	0.000179
0.012007	-0.000257	0.000031	0.000259
0.012067	-0.000175	-0.000122	0.000213
0.012127	0.000052	0.000059	0.000078
0.012187	-0.000079	-0.000164	0.000182
0.012247	-0.000055	0.000211	0.000218
0.012307	-0.000330	-0.000085	0.000341
0.012367	-0.000114	-0.000204	0.000234
0.012427	0.000077	-0.000226	0.000239
0.012487	-0.000013	-0.000198	0.000198
0.012547	-0.000055	-0.000107	0.000120
0.012607	-0.000034	0.000040	0.000053
0.012667	-0.000220	-0.000002	0.000220
0.012727	0.000004	-0.000142	0.000142
0.012787	-0.000040	0.000003	0.000040
0.012847	-0.000121	-0.000138	0.000184
0.012907	-0.000004	-0.000146	0.000146
0.012967	0.000135	0.000036	0.000139
0.013027	-0.000106	0.000011	0.000106
0.013087	-0.000211	-0.000108	0.000237
0.013147	-0.000026	-0.000023	0.000034
0.013207	-0.000128	0.000213	0.000249
0.013267	-0.000019	-0.000208	0.000209
0.013327	0.000017	0.000172	0.000173
0.013387	0.000142	-0.000087	0.000167
0.013447	0.000277	-0.000004	0.000277
0.013507	-0.000324	-0.000162	0.000362
0.013567	0.000021	-0.000372	0.000373
0.013627	-0.000019	-0.000284	0.000285
0.013687	-0.000149	-0.000263	0.000302
0.013747	-0.000025	-0.000250	0.000252
0.013807	-0.000103	0.000060	0.000119
0.013867	-0.000100	-0.000063	0.000119
0.013927	0.000298	0.000025	0.000300
0.013987	0.000058	-0.000135	0.000146
0.014047	-0.000069	-0.000085	0.000110
0.014107	-0.000080	-0.000210	0.000225
0.014167	0.000047	0.000074	0.000087
0.014227	0.000104	0.000181	0.000209
0.014287	0.000149	-0.000105	0.000182
0.014347	0.000026	-0.000061	0.000066
0.014407	-0.000029	0.000076	0.000081
0.014467	-0.000164	-0.000254	0.000302
0.014527	0.000022	-0.000217	0.000218
0.014587	0.000151	-0.000247	0.000289
0.014647	0.000166	-0.000149	0.000223
0.014707	-0.000231	-0.000216	0.000316
0.014767	0.000000	-0.000176	0.000176
0.014827	0.000171	-0.000089	0.000193
0.014887	-0.000002	-0.000224	0.000224
0.014947	-0.000031	-0.000036	0.000048
0.015007	0.000011	-0.000101	0.000101
0.015067	0.000072	-0.000009	0.000072
0.015127	0.000161	0.000051	0.000169
0.015187	-0.000131	-0.000108	0.000170
0.015247	-0.000004	-0.000296	0.000296
0.015307	0.000014	0.000057	0.000059
0.015367	-0.000133	-0.000206	0.000245
0.015427	0.000194	-0.000484	0.000521
0.015487	-0.000024	0.000044	0.000050
0.015547	-0.000019	0.000187	0.000188
0.015607	-0.000250	0.000039	0.000253
0.015667	-0.000261	0.000021	0.000262
0.015727	-0.000148	-0.000181	0.000233
0.015787	-0.000037	-0.000213	0.000217
0.015847	-0.000410	-0.000193	0.000453
0.015907	-0.000015	-0.000102	0.000103
0.015967	0.000164	-0.000064	0.000176
0.016027	-0.000219	-0.000142	0.000261
0.016087	0.000049	-0.000049	0.000069
0.016147	0.000009	-0.000072	0.000072
0.016207	-0.000102	-0.000016	0.000104
0.016267	0.000018	-0.000359	0.000359
0.016327	-0.000088	0.000066	0.000110
0.016387	0.000052	-0.000065	0.000084
0.016447	-0.000132	0.000137	0.000190
0.016507	0.000081	0.000022	0.000084
0.016567	-0.000044	-0.000385	0.000387
0.016627	0.000138	-0.000162	0.000213
0.016687	0.000190	-0.000163	0.000250
0.016747	0.000053	0.000014	0.000055
0.016807	0.000343	-0.000236	0.000416
0.016867	0.000393	0.000192	0.000437
0.016927	0.000034	0.000050	0.000061
0.016987	-0.000192	0.000065	0.000203
0.017047	-0.000036	0.000063	0.000073
0.017107	0.000129	-0.000218	0.000253
0.017167	-0.000022	-0.000301	0.000301
0.017227	-0.000075	0.000319	0.000328
0.017287	0.000033	-0.000021	0.000039
0.017347	0.000022	-0.000250	0.000250
0.017407	-0.000063	-0.000108	0.000125
0.017467	-0.000017	0.000051	0.000054
0.017527	-0.000017	-0.000223	0.000224
0.017587	-0.000144	-0.000228	0.000270
0.017647	-0.000157	-0.000003	0.000157
0.017707	-0.000022	-0.000135	0.000137
0.017767	0.000214	-0.000086	0.000230
0.017827	-0.000139	-0.000228	0.000267
0.017887	-0.000251	-0.000119	0.000277
0.017947	-0.000011	-0.000018	0.000022
0.018007	0.000162	-0.000072	0.000178
0.018067	-0.000004	0.000032	0.000032
0.018127	0.000160	-0.000247	0.000295
0.018187	0.000080	-0.000026	0.000084
0.018247	-0.000322	-0.000243	0.000403
0.018307	0.000142	0.000026	0.000144
0.018367	-0.000021	-0.000107	0.000109
0.018427	0.000198	0.000110	0.000226
0.018487	-0.000018	-0.000120	0.000121
0.018547	-0.000242	0.000013	0.000243
0.018607	0.000113	0.000126	0.000169
0.018667	0.000219	0.000020	0.000220
0.018727	-0.000365	0.000067	0.000371
0.018787	-0.000192	-0.000149	0.000243
0.018847	-0.000075	-0.000229	0.000241
0.018907	0.000023	-0.000181	0.000183
0.018967	-0.000061	-0.000207	0.000215
0.019027	-0.000029	-0.000165	0.000168
0.019087	-0.000185	0.000117	0.000219
0.019147	0.000172	0.000082	0.000191
0.019207	0.000035	-0.000141	0.000145
0.019267	-0.000102	0.000113	0.000152
0.019327	-0.000043	-0.000318	0.000321
0.019387	0.000063	-0.000297	0.000304
0.019447	0.000208	-0.000039	0.000212
0.019507	-0.000213	0.000088	0.000231
0.019567	0.000150	-0.000107	0.000185
0.019627	0.000084	-0.000144	0.000166
0.019687	-0.000322	0.000065	0.000328
0.019747	-0.000206	-0.000081	0.000221
0.019807	-0.000140	-0.000026	0.000142
0.019867	-0.000130	0.000064	0.000145
0.019927	-0.000050	-0.000098	0.000110
0.019987	0.000088	0.000372	0.000383
0.020047	0.000096	-0.000412	0.000423
0.020107	0.000049	0.000047	0.000068
0.020167	-0.000063	0.000041	0.000075
0.020227	-0.000127	-0.000095	0.000159
0.020287	-0.000388	-0.000398	0.000556
0.020347	-0.000094	-0.000224	0.000243
0.020407	-0.000098	-0.000016	0.000099
0.020467	0.000171	-0.000195	0.000259
0.020527	-0.000062	-0.000250	0.000258
0.020587	-0.000052	-0.000075	0.000091
0.020647	-0.000053	-0.000042	0.000068
0.020707	-0.000124	0.000050	0.000134
