Dist from origin [mm],mean of absValue [nT]
0,0.008314553595087287
5,0.008449804812450935
10,0.008254114271183222
15,0.008243315814662791
20,0.008060609951459569
25,0.008125355344687437
30,0.008011075508202674
35,0.008145565472096336
40,0.00801006057771834
45,0.008000429564562926
50,0.007843758992644627
55,0.007941330651216964
60,0.00829089291904366
65,0.00812604154907927
70,0.008125177435654656
75,0.008373748051915507
80,0.008194770747258518
85,0.008490142505618989
90,0.007741127369782351
95,0.007225798200664636
100,0.0019754480169613987
105,0.00027850581632674927
110,0.0001171156956988083
