Dist from origin [mm],mean of absValue [nT]
0,0.0040787850670292196
5,0.007284371747115762
10,0.007410348692368923
15,0.007887571880628275
20,0.0080992340784178
25,0.008345698972278508
30,0.008331097612376655
35,0.00829718469670251
40,0.00853745652259393
45,0.008544158982033992
50,0.00870937465837805
55,0.008901259099534523
60,0.008726325643608921
65,0.008874973861907528
70,0.009008999704764138
75,0.008888705965537518
80,0.008959607353340346
85,0.009122711994464123
90,0.009033287157505373
95,0.009171040761485082
100,0.009014273456672186
105,0.008955335379059888
110,0.008948269062298246
115,0.008986191373667391
120,0.008859112198475698
125,0.008684187244108675
130,0.008660429337790935
135,0.008483685301314855
140,0.00833819214030181
145,0.008203064766589292
150,0.0077369245754512475
155,0.0075413914757762116
160,0.007007715110142278
165,0.0012828045089042358
170,0.0002647708160551108
