CPMG train data
Estimated phase correction: -2.102316 rad
time in s	real part	imag part	abs value
0.008647	-0.085746	-0.146631	0.169861
0.008707	-0.085983	-0.147318	0.170575
0.008767	-0.086606	-0.147850	0.171349
0.008827	-0.085813	-0.147011	0.170224
0.008887	-0.086775	-0.148143	0.171686
0.008947	-0.086434	-0.147830	0.171245
0.009007	-0.085457	-0.147598	0.170552
0.009067	-0.087170	-0.147915	0.171690
0.009127	-0.086257	-0.147254	0.170658
0.009187	-0.086465	-0.147359	0.170854
0.009247	-0.087411	-0.146963	0.170994
0.009307	-0.085681	-0.148042	0.171049
0.009367	-0.087146	-0.146770	0.170692
0.009427	-0.086890	-0.146925	0.170695
0.009487	-0.085650	-0.147432	0.170506
0.009547	-0.087222	-0.147167	0.171073
0.009607	-0.085969	-0.147122	0.170398
0.009667	-0.086007	-0.147637	0.170862
0.009727	-0.087396	-0.147457	0.171411
0.009787	-0.085643	-0.147435	0.170504
0.009847	-0.086996	-0.147164	0.170955
0.009907	-0.086269	-0.147724	0.171069
0.009967	-0.086028	-0.147656	0.170890
0.010027	-0.086850	-0.147988	0.171590
0.010087	-0.086105	-0.147829	0.171078
0.010147	-0.086301	-0.147091	0.170539
0.010207	-0.086785	-0.147696	0.171306
0.010267	-0.085631	-0.147699	0.170727
0.010327	-0.087290	-0.146763	0.170760
0.010387	-0.086271	-0.147409	0.170799
0.010447	-0.085493	-0.147161	0.170193
0.010507	-0.087351	-0.147269	0.171226
0.010567	-0.085899	-0.147808	0.170956
0.010627	-0.086381	-0.146988	0.170491
0.010687	-0.086344	-0.147411	0.170837
0.010747	-0.086002	-0.147981	0.171157
0.010807	-0.086373	-0.146885	0.170398
0.010867	-0.085788	-0.147257	0.170423
0.010927	-0.086889	-0.146901	0.170673
0.010987	-0.086887	-0.147532	0.171217
0.011047	-0.085806	-0.147760	0.170867
0.011107	-0.086443	-0.146849	0.170402
0.011167	-0.086247	-0.147394	0.170773
0.011227	-0.086340	-0.147992	0.171337
0.011287	-0.086244	-0.147133	0.170546
0.011347	-0.086458	-0.147802	0.171232
0.011407	-0.085908	-0.147099	0.170347
0.011467	-0.087068	-0.147824	0.171560
0.011527	-0.085908	-0.147051	0.170306
0.011587	-0.086392	-0.147243	0.170716
0.011647	-0.086363	-0.147535	0.170954
0.011707	-0.086354	-0.147376	0.170812
0.011767	-0.085960	-0.146994	0.170284
0.011827	-0.085786	-0.147752	0.170850
0.011887	-0.085875	-0.147230	0.170444
0.011947	-0.086497	-0.147020	0.170578
0.012007	-0.086025	-0.147028	0.170346
0.012067	-0.086228	-0.147292	0.170676
0.012127	-0.086510	-0.147120	0.170670
0.012187	-0.085706	-0.147147	0.170288
0.012247	-0.085961	-0.147042	0.170325
0.012307	-0.086311	-0.147258	0.170688
0.012367	-0.085753	-0.147090	0.170261
0.012427	-0.086596	-0.147876	0.171366
0.012487	-0.085981	-0.147663	0.170872
0.012547	-0.086054	-0.147123	0.170442
0.012607	-0.086714	-0.147224	0.170863
0.012667	-0.086516	-0.146827	0.170421
0.012727	-0.086036	-0.147732	0.170959
0.012787	-0.086310	-0.146847	0.170334
0.012847	-0.086055	-0.147075	0.170401
0.012907	-0.086835	-0.147010	0.170740
0.012967	-0.086247	-0.147307	0.170698
0.013027	-0.086283	-0.147764	0.171111
0.013087	-0.086478	-0.146844	0.170416
0.013147	-0.086162	-0.147459	0.170787
0.013207	-0.086220	-0.147360	0.170730
0.013267	-0.086425	-0.147278	0.170764
0.013327	-0.086227	-0.147354	0.170729
0.013387	-0.086714	-0.147181	0.170826
0.013447	-0.086558	-0.147161	0.170729
0.013507	-0.086107	-0.146909	0.170284
0.013567	-0.086623	-0.147428	0.170993
0.013627	-0.085849	-0.147381	0.170561
0.013687	-0.086032	-0.146629	0.170005
0.013747	-0.086246	-0.146878	0.170328
0.013807	-0.085776	-0.147841	0.170923
0.013867	-0.086230	-0.146633	0.170108
0.013927	-0.086336	-0.147334	0.170767
0.013987	-0.086524	-0.147177	0.170726
0.014047	-0.086564	-0.146961	0.170560
0.014107	-0.086139	-0.147655	0.170944
0.014167	-0.086467	-0.147112	0.170641
0.014227	-0.086450	-0.147441	0.170917
0.014287	-0.086248	-0.147289	0.170684
0.014347	-0.086358	-0.146968	0.170462
0.014407	-0.086247	-0.147652	0.170996
0.014467	-0.086285	-0.147333	0.170740
0.014527	-0.086019	-0.146959	0.170283
0.014587	-0.086058	-0.147405	0.170687
0.014647	-0.086254	-0.146838	0.170297
0.014707	-0.086278	-0.147726	0.171076
0.014767	-0.086107	-0.147233	0.170563
0.014827	-0.085992	-0.146415	0.169800
0.014887	-0.086049	-0.147172	0.170482
0.014947	-0.086407	-0.147058	0.170565
0.015007	-0.086497	-0.146988	0.170550
0.015067	-0.085966	-0.146670	0.170007
0.015127	-0.086593	-0.147078	0.170676
0.015187	-0.086033	-0.147202	0.170499
0.015247	-0.086153	-0.146803	0.170216
0.015307	-0.086522	-0.146961	0.170540
0.015367	-0.086165	-0.147384	0.170723
0.015427	-0.085904	-0.147193	0.170427
0.015487	-0.086556	-0.146897	0.170501
0.015547	-0.086268	-0.146459	0.169978
0.015607	-0.086272	-0.147466	0.170848
0.015667	-0.086422	-0.147621	0.171057
0.015727	-0.086037	-0.146470	0.169870
0.015787	-0.086279	-0.147334	0.170738
0.015847	-0.086285	-0.146555	0.170069
0.015907	-0.086676	-0.147203	0.170826
0.015967	-0.086134	-0.146731	0.170145
0.016027	-0.086113	-0.147439	0.170745
0.016087	-0.086117	-0.147217	0.170555
0.016147	-0.086244	-0.146774	0.170237
0.016207	-0.086049	-0.146833	0.170189
0.016267	-0.085912	-0.146723	0.170025
0.016327	-0.086336	-0.146520	0.170065
0.016387	-0.085968	-0.147188	0.170454
0.016447	-0.086452	-0.146641	0.170228
0.016507	-0.086094	-0.147136	0.170473
0.016567	-0.086472	-0.146872	0.170437
0.016627	-0.085963	-0.147282	0.170533
0.016687	-0.085774	-0.146974	0.170172
0.016747	-0.086126	-0.147118	0.170474
0.016807	-0.086345	-0.146809	0.170318
0.016867	-0.086304	-0.146364	0.169914
0.016927	-0.086835	-0.146890	0.170637
0.016987	-0.086030	-0.147172	0.170472
0.017047	-0.086413	-0.146772	0.170321
0.017107	-0.085965	-0.147029	0.170316
0.017167	-0.085448	-0.147100	0.170117
0.017227	-0.086812	-0.146910	0.170643
0.017287	-0.086010	-0.146854	0.170188
0.017347	-0.085872	-0.147188	0.170406
0.017407	-0.086416	-0.146723	0.170281
0.017467	-0.086605	-0.147288	0.170863
0.017527	-0.086271	-0.147027	0.170468
0.017587	-0.086134	-0.146643	0.170068
0.017647	-0.086179	-0.146715	0.170153
0.017707	-0.086289	-0.146518	0.170039
0.017767	-0.085780	-0.146642	0.169889
0.017827	-0.086087	-0.147056	0.170401
0.017887	-0.086213	-0.146592	0.170064
0.017947	-0.085584	-0.146606	0.169758
0.018007	-0.086162	-0.146777	0.170198
0.018067	-0.086064	-0.146760	0.170134
0.018127	-0.085878	-0.147029	0.170272
0.018187	-0.086111	-0.146333	0.169789
0.018247	-0.085532	-0.147040	0.170107
0.018307	-0.086463	-0.146584	0.170185
0.018367	-0.086072	-0.146966	0.170316
0.018427	-0.085895	-0.146705	0.170001
0.018487	-0.085766	-0.146545	0.169798
0.018547	-0.085805	-0.146855	0.170085
0.018607	-0.086076	-0.146849	0.170217
0.018667	-0.086244	-0.147133	0.170547
0.018727	-0.085818	-0.146897	0.170128
0.018787	-0.086499	-0.146780	0.170372
0.018847	-0.085893	-0.146598	0.169907
0.018907	-0.085744	-0.146909	0.170101
0.018967	-0.086109	-0.146847	0.170232
0.019027	-0.085760	-0.146404	0.169673
