0.000000000000000000e+00,1.834572207234069774e+00
5.000000000000000000e+00,3.434930427622085780e+00
1.000000000000000000e+01,3.142544991438861679e+00
1.500000000000000000e+01,2.951731209381005527e+00
2.000000000000000000e+01,2.813720263461081394e+00
2.500000000000000000e+01,2.643046105637989029e+00
3.000000000000000000e+01,2.660882659090366698e+00
3.500000000000000000e+01,2.725125214112530614e+00
4.000000000000000000e+01,2.607057620440247803e+00
4.500000000000000000e+01,2.519794778182363082e+00
5.000000000000000000e+01,2.536049708820463877e+00
5.500000000000000000e+01,2.523450613640800810e+00
6.000000000000000000e+01,2.495903476851796476e+00
6.500000000000000000e+01,2.466950398796076804e+00
7.000000000000000000e+01,2.562616660679326142e+00
7.500000000000000000e+01,2.486967751564536755e+00
8.000000000000000000e+01,2.751883488699156999e+00
8.500000000000000000e+01,2.949252927703338578e+00
9.000000000000000000e+01,3.038144173436052586e+00
9.500000000000000000e+01,3.110335324358895814e+00
1.000000000000000000e+02,3.279284995487403265e+00
1.050000000000000000e+02,1.299015735955137529e+00
1.100000000000000000e+02,1.740828381636100597e-01
