Dist from origin [mm],mean of absValue [nT]
0,0.004858770255447529
5,0.004964719009596749
10,0.00486951341075472
15,0.005150630198447105
20,0.005455420855251396
25,0.005567100650758672
30,0.005600168322694911
35,0.005235306670719257
40,0.005412626308360604
45,0.00530622124057201
50,0.005546501305168952
55,0.005519446099714181
60,0.005334540638349397
65,0.005546400516880136
70,0.005408246260436765
75,0.005539057960950331
80,0.005175246122352748
85,0.00538234283327375
90,0.0051097944400998
95,0.004058202390463522
100,0.0006187378381613244
105,0.00019170804550681038
110,0.0003210218777354506
