Dist from origin [mm],mean of absValue [nT]
0,0.003764421129689863
5,0.0062174547689537
10,0.006696134987598921
15,0.006766634036810174
20,0.006882190554963055
25,0.007084044854964579
30,0.00710306994117077
35,0.0072064487331172525
40,0.007414393950388502
45,0.007390027745657422
50,0.007450807953965956
55,0.007403734291788173
60,0.007310572477849886
65,0.007372918356381985
70,0.0071399276472787696
75,0.006805866097500279
80,0.007069826556867254
85,0.006736167745227991
90,0.006307631942076859
95,0.006007224376986489
100,0.005448936484823298
105,0.0030220149058816
110,0.00019580283722389386
