Dist from origin [mm],mean of absValue [nT]
0,0.006334506545545283
5,0.012547024519253257
10,0.011603674056354573
15,0.011347725762489375
20,0.010978326459081126
25,0.010542914053962455
30,0.010252487156650685
35,0.009873967835453034
40,0.010096214357690925
45,0.009970531559398983
50,0.009891556600578909
55,0.009519331475630957
60,0.009754538848871269
65,0.00961497558480108
70,0.00964452214448828
75,0.009456856480912192
80,0.009372060890907575
85,0.009523821612195232
90,0.009767761104764152
95,0.009630325544391997
100,0.009862746769939819
105,0.00980642690786466
110,0.010034456933426418
115,0.010049787517315362
120,0.01004174864765485
125,0.010021279452753015
130,0.010660368233009048
135,0.010818568557331577
140,0.011049077683895181
145,0.011229702831396779
150,0.01186724104451605
155,0.011810604636349323
160,0.010515669144768322
165,0.0005434759899724637
170,0.00021672625315953737
