Dist from origin [mm],mean of absValue [nT]
0,0.005709102940336251
5,0.009941228752640264
10,0.008982620604929235
15,0.008314585802419285
20,0.0077446706949594575
25,0.006968168293059534
30,0.006864617778059002
35,0.006386204107318553
40,0.0060099814961749815
45,0.005871603981552985
50,0.0058649455864652885
55,0.0056422708543364805
60,0.0058282844060338025
65,0.005585979048575867
70,0.005551538697679277
75,0.0056196375709608995
80,0.005552088224265711
85,0.005535263141854233
90,0.005560806188641693
95,0.005525289086018271
100,0.005607696991264573
105,0.005831959078210792
110,0.0057437490076755054
115,0.005797385785689363
120,0.005973886692490619
125,0.0062553042887918365
130,0.006293604132283509
135,0.006658988466641696
140,0.007072085131709931
145,0.007565980010660522
150,0.007971235920060958
155,0.008897211386141237
160,0.010071316380945555
165,0.006546436409544988
170,0.00021650668694377066
