Dist from origin [mm],mean of absValue [nT]
0,0.0036019875745826892
5,0.007367433707107777
10,0.007634219064497732
15,0.00794033206739776
20,0.008289834773140136
25,0.00849035594629222
30,0.008622324260841314
35,0.008677180681221225
40,0.008958611172517289
45,0.008827217408723609
50,0.00884071346103083
55,0.008873255948238757
60,0.009113923298626604
65,0.009083693403566339
70,0.009168671869210622
75,0.009218076269893747
80,0.009141170662777509
85,0.009271124027222997
90,0.009162901581239636
95,0.009270750933907019
100,0.009214669745863694
105,0.009084700533875176
110,0.009224224800691903
115,0.0092742269134282
120,0.008896349236561296
125,0.008968619961073692
130,0.00878860906282874
135,0.008548697069356046
140,0.008551932554380767
145,0.008328599866773161
150,0.008015400530946128
155,0.007549673436459621
160,0.007141646544202784
165,0.0016679111341368856
170,0.00018573353546836368
