Dist from origin [mm],mean of absValue [nT]
0,0.006833472827233732
5,0.011501705282748062
10,0.011308378919719773
15,0.01118623810030265
20,0.011065167985722931
25,0.011054436835507869
30,0.010873966788210348
35,0.01078047699584801
40,0.010838027149953166
45,0.010946390971991057
50,0.010824252422873146
55,0.010778823387652136
60,0.01095935791176695
65,0.011246772153219545
70,0.011016387497049605
75,0.0113039138298383
80,0.011624176223450189
85,0.011490756514061107
90,0.012134314532989715
95,0.012058104582109087
100,0.012155380609909217
105,0.004306672454475314
110,0.0006223588179553349
115,0.000595117836782034
